x,y,z,sx,sy,sz
717645.86,1606173.55,14.09,0.0631,0.0512,0.2225
717390.38,1606095.70,0.95,0.0562,0.0489,0.1914
717633.39,1606169.77,16.32,0.1033,0.0276,0.3068
717410.67,1606036.35,1.57,0.9723,0.6737,1.5398
717584.67,1606183.47,10.17,0.0929,0.0373,0.2602
717446.20,1606175.76,0.51,0.0100,0.0095,0.0385
717402.64,1606089.22,1.41,0.0504,0.0598,0.1939
717396.50,1606103.94,0.80,0.0362,0.0299,0.1263
717647.85,1606186.90,15.41,0.2410,0.0850,0.5886
717452.68,1606153.21,0.81,0.0095,0.0092,0.0352
717439.29,1606206.73,0.38,0.0253,0.0300,0.0618
717503.10,1606173.76,16.56,0.1093,0.0650,0.3401
717565.85,1606061.48,7.64,0.4464,0.6562,0.6517
717541.21,1606100.40,15.68,0.3482,0.5020,0.6051
717545.59,1606081.35,4.90,0.4323,0.6772,0.7606
717528.24,1606109.37,3.09,0.2025,0.3148,0.4352
717577.91,1606052.19,7.37,0.4407,0.6203,0.5865
717530.79,1606116.26,15.94,0.1780,0.2548,0.3439
717562.74,1606062.21,8.42,0.3647,0.5477,0.5450
717545.55,1606080.73,4.07,0.3414,0.5370,0.6077
717584.04,1606061.97,5.76,2.3462,2.9976,2.9736
717556.42,1606074.07,5.20,0.2926,0.4332,0.4713
717466.09,1606153.90,1.32,0.0355,0.0349,0.1430
717355.15,1606389.68,8.66,0.2217,0.3710,0.4359
717383.95,1606365.70,19.68,0.3270,0.6817,0.9148
717365.08,1606361.72,9.36,0.0657,0.0992,0.1263
717351.94,1606394.82,8.77,0.2750,0.4603,0.5289
717363.46,1606369.21,9.83,0.2136,0.3401,0.4662
717366.33,1606366.30,9.09,0.0881,0.1392,0.1789
717379.63,1606352.55,16.18,0.1140,0.1975,0.3000
717376.46,1606352.47,11.55,0.1005,0.1657,0.2585
717360.82,1606349.43,10.78,0.7809,1.0178,1.6384
717349.26,1606393.07,8.23,0.2316,0.3721,0.4322
717336.13,1606414.83,2.72,0.3883,0.6260,0.6493
717364.62,1606371.91,16.16,0.1885,0.3111,0.4033
717317.60,1606430.16,3.16,0.5149,0.7714,0.7355
717464.49,1606157.41,0.90,0.0076,0.0074,0.0313
717447.03,1606239.71,14.13,0.0339,0.0416,0.1335
717324.09,1606432.02,3.42,0.3709,0.5915,0.5582
717656.55,1606254.92,11.91,0.0099,0.0089,0.0370
717545.32,1606243.92,6.51,0.0178,0.0173,0.0616
717454.44,1606220.67,0.54,0.0161,0.0135,0.0565
717514.00,1606180.94,20.38,0.0075,0.0074,0.0252
717380.44,1606356.31,17.73,0.2766,0.5016,0.7296
717611.62,1606220.36,6.07,0.0204,0.0206,0.0864
717526.51,1606203.64,15.06,0.0239,0.0208,0.1230
717495.55,1606291.39,11.01,0.0109,0.0108,0.0587
717452.12,1606256.47,10.03,0.0159,0.0147,0.0603
717490.76,1606344.10,13.02,0.0760,0.0567,0.2405
717589.95,1606171.89,7.07,0.1644,0.0444,0.4824
717298.62,1606236.67,1.12,0.0895,0.0639,0.2985
717569.44,1606160.12,8.67,0.0618,0.0200,0.2766
